change_table_id, change_table_name, description, code_id
1,'users',,'users'
2,'values',,'values'
3,'user_values',,'user_values'
4,'value_links',,'value_links'
5,'words',,'words'
6,'user_words',,'user_words'
7,'triples',,'triples'
8,'user_triples',,'user_triples'
9,'verbs',,'verbs'
10,'formulas',,'formulas'
11,'user_formulas',,'user_formulas'
12,'formula_links',,'formula_links'
13,'user_formula_links',,'user_formula_links'
14,'views',,'views'
15,'user_views',,'user_views'
16,'view_component_links',,'view_component_links'
17,'user_view_component_links',,'user_view_component_links'
18,'view_components',,'view_components'
19,'user_view_components',,'user_view_components'
20,'sources',,'sources'
21,'user_sources',,'user_sources'
22,'refs',,'refs'
