component_type_id, type_name, description, code_id
1, 'word selector', '', 'word_select'
2, 'view selector', 'to select an existing mask e.g. to set the default view', 'view_select'
3, 'text', 'simply to display a variable text', 'text'
4, 'fixed word', 'just display a word as a text', 'fixed'
5, 'linked word', 'display a word and offer a link', 'link'
6, 'formula results', 'show the results of a formula', 'formula_results'
7, 'word list up', 'Show a list of words related with a specified verb e.g. for the triple <Canton of Zurich> show the word <canton>, because they are linked with verb <is a>', 'word_list_up'
8, 'word name', 'show the word name and give the user the possibility to change the word name', 'word_name'
9, 'word list down', 'Show a list of words related with a specified verb e.g. for word <canton> list <Canton of Zurich> and others, because they are linked with verb <is a>', 'word_list_down'
10, 'all relations', 'show the complete list of all relations', 'values_all'
11, 'values related to', 'display all values that are related to a defined term', 'values_related'
12, 'formulas', 'show all related formulas', 'formula_list'
13, 'word value list', 'A list of words with some key values e.g. a company list with the PE ratio', 'word_value_list'
14, 'XML export', 'offer to configure and start the XML export of a phrase and all related words, numbers and formulas', 'xml_export'
15, 'CSV export', 'to define the main phrase, the column and row for the CSV export', 'csv_export'
16, 'JSON Export', 'To start or configure the JSON export', 'json_export'
17, 'system form title', 'a form title only allowed for system views where the user can only change the order', 'system_form_title'
18, 'system form hidden back stack', 'the hidden form field with the back stack only allowed for system views where the user can only change the order', 'system_form_back_stack'
19, 'system form confirm status', 'the hidden form field for the user confirm status only allowed for system views where the user can only change the order', 'system_form_confirm_status'
20, 'form field name', 'the form field for the name of a word or formula', 'field_name'
21, 'form field description', 'the form field for the description of a word or formula', 'field_description'
22, 'form field share type', 'the share type field in a form', 'field_share_type'
23, 'form field protection type', 'the protection type field in a form', 'field_protection_type'
24, 'button cancel', 'a button of a form to cancel the form action', 'system_button_cancel'
25, 'button save', 'a button of a form to save the changes to the database', 'system_button_save'
26, 'form end', 'just to indicate that a form ends', 'form_end'
